,Unnamed: 0,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
134,134,703678.4834722222,-0.56,131.764,15.0,7.1,mw,,,,,iscgem,iscgem909442,735731.7865972222,"near the north coast of Papua, Indonesia",earthquake
135,135,703678.0663425926,7.196,-82.55,15.0,6.6,mw,,,,,iscgem,iscgem909441,735731.7865972222,south of Panama,earthquake
136,136,703673.8840046297,37.631,142.217,35.0,7.0,mw,,,,,iscgem,iscgem909429,735731.7865972222,"off the east coast of Honshu, Japan",earthquake
137,137,703659.1633333333,34.222,53.996,10.0,6.3,mw,,,,,iscgem,iscgem909393,735731.7865972222,central Iran,earthquake
138,138,703655.4721064814,-32.772,-179.539,15.0,6.3,mw,,,,,iscgem,iscgem909390,735731.7865972222,south of the Kermadec Islands,earthquake
139,139,703648.5445601852,31.922,35.633,15.0,6.3,mw,,,,,iscgem,iscgem909378,735731.7865972222,Dead Sea region,earthquake
140,140,703640.4428935185,-14.465,-173.721,15.0,6.3,mw,,,,,iscgem,iscgem909362,735731.7865972222,Samoa Islands region,earthquake
141,141,703621.7201273148,-50.571,140.079,10.0,6.3,mw,,,,,iscgem,iscgem909338,735731.7865972222,western Indian-Antarctic Ridge,earthquake
142,142,703610.3000810185,-6.766,130.363,35.0,7.5,mw,,,,,iscgem,iscgem909316,735731.7865972222,Banda Sea,earthquake
143,143,703598.9394560185,37.645,102.489,15.0,7.7,mw,,,,,iscgem,iscgem909273,735731.7865972222,"Gansu-Qinghai border region, China",earthquake
144,144,703562.3437615741,51.167,-178.303,20.0,6.5,mw,,,,,iscgem,iscgem909201,735731.7865972222,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
145,145,703536.628912037,-33.468,57.524,10.0,6.4,mw,,,,,iscgem,iscgem909158,735731.7865972222,Southwest Indian Ridge,earthquake
146,146,703527.7810532408,-39.956,-103.993,10.0,6.2,mw,,,,,iscgem,iscgem909133,735731.7865972222,southern Pacific Ocean,earthquake
147,147,703522.3942361111,35.632,135.013,10.0,7.0,mw,,,,,iscgem,iscgem909128,735731.7865972222,"western Honshu, Japan",earthquake
148,148,703518.0452546297,-6.718,122.094,15.0,7.1,mw,,,,,iscgem,iscgem909124,735731.7865972222,Flores Sea,earthquake
149,149,703515.5888541667,-28.549,-71.081,35.0,6.5,mw,,,,,iscgem,iscgem909122,735731.7865972222,"Atacama, Chile",earthquake
150,150,703512.6537268518,-38.214,177.991,35.0,6.2,mw,,,,,iscgem,iscgem909114,735731.7865972222,North Island of New Zealand,earthquake
151,151,703503.4948148148,46.2,154.324,15.0,6.3,mw,,,,,iscgem,iscgem909096,735731.7865972222,east of the Kuril Islands,earthquake
152,152,703503.3588310186,45.836,153.929,25.0,6.2,mw,,,,,iscgem,iscgem909094,735731.7865972222,east of the Kuril Islands,earthquake
153,153,703503.1225810185,46.369,153.535,15.0,6.5,mw,,,,,iscgem,iscgem909093,735731.7865972222,Kuril Islands,earthquake
154,154,703503.0662731482,46.545,153.553,15.0,7.0,mw,,,,,iscgem,iscgem909092,735731.7865972222,Kuril Islands,earthquake
155,155,703491.1176736112,-17.24,169.345,15.0,6.3,mw,,,,,iscgem,iscgem909083,735731.7865972222,Vanuatu,earthquake
156,156,703490.1619675925,33.367,121.382,20.0,6.5,mw,,,,,iscgem,iscgem909081,735731.7865972222,Yellow Sea,earthquake
157,157,703488.7476273148,-6.693,155.067,35.0,6.6,mw,,,,,iscgem,iscgem909080,735731.7865972222,"Bougainville region, Papua New Guinea",earthquake
158,158,703480.2794560185,-18.063,168.12,35.0,6.5,mw,,,,,iscgem,iscgem909069,735731.7865972222,Vanuatu,earthquake
159,159,703480.0456828703,-18.313,167.64,30.0,7.1,mw,,,,,iscgem,iscgem909067,735731.7865972222,Vanuatu,earthquake
160,160,703473.9154861111,38.507,142.235,35.0,6.4,mw,,,,,iscgem,iscgem909060,735731.7865972222,"near the east coast of Honshu, Japan",earthquake
161,161,703450.280162037,-4.928,142.683,35.0,6.4,mw,,,,,iscgem,iscgem910301,735731.7865972222,"New Guinea, Papua New Guinea",earthquake
162,162,703422.2218402778,11.261,124.699,15.0,6.2,mw,,,,,iscgem,iscgem910250,735731.7865972222,"Leyte, Philippines",earthquake
163,163,703400.3301736111,12.598,-86.875,15.0,7.0,mw,,,,,iscgem,iscgem910221,735731.7865972222,Nicaragua,earthquake
164,164,703397.8816087963,46.165,154.489,25.0,6.3,mw,,,,,iscgem,iscgem910217,735731.7865972222,east of the Kuril Islands,earthquake
165,165,703396.0690393519,48.909,-128.708,15.0,6.3,mw,,,,,iscgem,iscgem910211,735731.7865972222,"Vancouver Island, Canada region",earthquake
166,166,703390.5944675925,-2.633,139.768,35.0,6.3,mw,,,,,iscgem,iscgem910194,735731.7865972222,"near the north coast of Papua, Indonesia",earthquake
167,167,703390.2580208334,-2.795,139.318,25.0,6.6,mw,,,,,iscgem,iscgem910192,735731.7865972222,"near the north coast of Papua, Indonesia",earthquake
168,168,703390.1560763889,-2.834,139.283,35.0,7.6,mw,,,,,iscgem,iscgem910191,735731.7865972222,"near the north coast of Papua, Indonesia",earthquake
169,169,703386.5662847222,36.725,-122.18,10.0,6.3,mw,,,,,iscgem,iscgem910175,735731.7865972222,offshore Central California,earthquake
170,170,703377.7974305556,51.49,-175.288,40.0,7.0,mw,,,,,iscgem,iscgem910162,735731.7865972222,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
171,171,703377.5958101852,51.608,-179.538,50.0,6.7,mw,,,,,iscgem,iscgem910160,735731.7865972222,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
172,172,703377.2517361111,51.352,-179.84,45.0,6.9,mw,,,,,iscgem,iscgem910159,735731.7865972222,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
173,173,703367.818113426,-50.182,159.597,10.0,7.4,mw,,,,,iscgem,iscgem910139,735731.7865972222,north of Macquarie Island,earthquake
174,174,703367.3518518518,37.776,142.87,25.0,6.3,mw,,,,,iscgem,iscgem910138,735731.7865972222,"off the east coast of Honshu, Japan",earthquake
175,175,703350.7494444444,-9.504,159.451,15.0,7.1,mw,,,,,iscgem,iscgem910107,735731.7865972222,Solomon Islands,earthquake
176,176,703346.6554166666,22.936,121.384,15.0,6.5,mw,,,,,iscgem,iscgem910104,735731.7865972222,Taiwan region,earthquake
